about_author,author,birthdate,deathdate,rating,title,url,website
"Smith was born in Villa Park, Orange County, California. In interviews, she has said she realized she wanted to be a writer sometime between kindergarten and first grade, “when a teacher praised a horrible poem I’d written”, and began writing in earnest in elementary school. Smith received a Bachelor of Arts degree in Experimental Psychology from the University of California at Santa Barbara in 1987, followed by teaching credentials in Elementary education and Special education from San Francisco State University. She taught kindergarten and special education for several years before becoming a full-time writer. Her first book, The Night of the Solstice, was published by MacMillan in 1987, followed by, Heart of Valor in 1990, and the 4-volume Vampire Diaries series in 1991-2. Three trilogies followed: The Secret Circle (1992), The Forbidden Game (1994), and Dark Visions (1995). The first installment of her popular Night World series was published in 1996, followed by eight more over the next two years. In 1998, Smith began a decade-long hiatus from writing, returning in 2008 with a new Web site and a series of new short stories. The Vampire Diaries series was reissued in 2007, followed by re-printings of The Secret Circle trilogy and Night World series in 2008/2009. The Night of the Solstice and Heart of Valor was also reissued in 2008. Three new Vampire Diaries installments were published in 2009 and 2010. Smith lived in the San Francisco Bay area “with one dog, three cats, and about ten thousand books.” She passed away on March 8th, 2025, after a lengthy illness.",L.J. Smith,1958-09-04 00:00:00,2025-03-08 00:00:00,4.06,"Night World, No. 1",https://www.goodreads.com/book/show/3099787-night-world-no-1,https://theljsmith.com/
"Paula Hawkins is the author of the #1 New York Times bestseller The Girl on the Train, which was made into a major motion picture. Her new novel of psychological suspense, Into The Water, is coming May 2.",Paula Hawkins,,,3.96,The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,http://paulahawkinsbooks.com/
"Miguel de Cervantes y Cortinas, later Saavedra was a Spanish novelist, poet, and playwright. His novel Don Quixote is often considered his magnum opus, as well as the first modern novel. It is assumed that Miguel de Cervantes was born in Alcalá de Henares. His father was Rodrigo de Cervantes, a surgeon of cordoban descent. Little is known of his mother Leonor de Cortinas, except that she was a native of Arganda del Rey. In 1569, Cervantes moved to Italy, where he served as a valet to Giulio Acquaviva, a wealthy priest who was elevated to cardinal the next year. By then, Cervantes had enlisted as a soldier in a Spanish Navy infantry regiment and continued his military life until 1575, when he was captured by Algerian corsairs. He was then released on ransom from his captors by his parents and the Trinitarians, a Catholic religious order. He subsequently returned to his family in Madrid. In Esquivias (Province of Toledo), on 12 December 1584, he married the much younger Catalina de Salazar y Palacios (Toledo, Esquivias –, 31 October 1626), daughter of Fernando de Salazar y Vozmediano and Catalina de Palacios. Her uncle Alonso de Quesada y Salazar is said to have inspired the character of Don Quixote. During the next 20 years Cervantes led a nomadic existence, working as a purchasing agent for the Spanish Armada and as a tax collector. He suffered a bankruptcy and was imprisoned at least twice (1597 and 1602) for irregularities in his accounts. Between 1596 and 1600, he lived primarily in Seville. In 1606, Cervantes settled in Madrid, where he remained for the rest of his life. Cervantes died in Madrid on April 23, 1616. -Copied from Wikipedia",Miguel de Cervantes Saavedra,1547-07-11 00:00:00,1616-04-23 00:00:00,3.91,Don Quixote,https://www.goodreads.com/book/show/3836.Don_Quixote,
"Sheri Stewart Tepper was a prolific American author of science fiction, horror and mystery novels; she was particularly known as a feminist science fiction writer, often with an ecofeminist slant. Born near Littleton, Colorado, for most of her career (1962-1986) she worked for Rocky Mountain Planned Parenthood, where she eventually became Executive Director. She has two children and is married to Gene Tepper. She operated a guest ranch in Santa Fe, New Mexico. She wrote under several pseudonyms, including A.J. Orde , E.E. Horlak , and B.J. Oliphant . Her early work was published under the name Sheri S. Eberhart.",Sheri S. Tepper,1929-07-16 00:00:00,2016-10-22 00:00:00,4.06,The Gate to Women's Country,https://www.goodreads.com/book/show/104344.The_Gate_to_Women_s_Country,http://www.sheri-s-tepper.com/
"Lee Earle ""James"" Ellroy is an American crime fiction writer and essayist. Ellroy has become known for a telegrammatic prose style in his most recent work, wherein he frequently omits connecting words and uses only short, staccato sentences, and in particular for the novels The Black Dahlia (1987) and L.A. Confidential (1990).",James Ellroy,1948-03-04 00:00:00,,4.19,American Tabloid,https://www.goodreads.com/book/show/36064.American_Tabloid,https://www.jamesellroy.net/
"Sir Philip Nicholas Outram Pullman is an English writer. His books include the fantasy trilogy His Dark Materials and The Good Man Jesus and the Scoundrel Christ, a fictionalised biography of Jesus. In 2008, The Times named Pullman one of the ""50 greatest British writers since 1945"". In a 2004 BBC poll, he was named the eleventh most influential person in British culture. He was knighted in the 2019 New Year Honours for services to literature. Northern Lights, the first volume in His Dark Materials, won the 1995 Carnegie Medal of the Library Association as the year's outstanding English-language children's book. For the Carnegie's 70th anniversary, it was named in the top ten by a panel tasked with compiling a shortlist for a public vote for an all-time favourite. It won that public vote and was named all-time ""Carnegie of Carnegies"" in June 2007. It was filmed under the book's US title, The Golden Compass. In 2003, His Dark Materials trilogy ranked third in the BBC's The Big Read, a poll of 200 top novels voted by the British public.",Philip Pullman,1946-10-19 00:00:00,,4.03,The Golden Compass,https://www.goodreads.com/book/show/119322.The_Golden_Compass,https://www.philip-pullman.com
"Nelle Harper Lee was an American novelist whose 1960 novel To Kill a Mockingbird won the 1961 Pulitzer Prize and became a classic of modern American literature. She assisted her close friend Truman Capote in his research for the book In Cold Blood (1966). Her second and final novel, Go Set a Watchman, was an earlier draft of Mockingbird, set at a later date, that was published in July 2015 as a sequel. The plot and characters of To Kill a Mockingbird are loosely based on Lee's observations of her family and neighbors in Monroeville, Alabama, as well as a childhood event that occurred near her hometown in 1936. The novel deals with racist attitudes, the irrationality of adult attitudes towards race and class in the Deep South of the 1930s, as depicted through the eyes of two children. Lee received numerous accolades and honorary degrees, including the Presidential Medal of Freedom in 2007, which was awarded for her contribution to literature.",Harper Lee,1926-04-28 00:00:00,2016-02-19 00:00:00,4.26,To Kill a Mockingbird,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird,
"Фёдор Михайлович Достоевский (Russian) Works, such as the novels Crime and Punishment (1866), The Idiot (1869), and The Brothers Karamazov (1880), of Russian writer Feodor Mikhailovich Dostoyevsky or Dostoevski combine religious mysticism with profound psychological insight. Very influential writings of Mikhail Mikhailovich Bakhtin included Problems of Dostoyevsky's Works (1929), Fyodor Mikhailovich Dostoevsky composed short stories, essays, and journals. His literature explores humans in the troubled political, social, and spiritual atmospheres of 19th-century and engages with a variety of philosophies and themes. People most acclaimed his Demons(1872) . Many literary critics rate him among the greatest authors of world literature and consider multiple books written by him to be highly influential masterpieces. They consider his Notes from Underground of the first existentialist literature. He is also well regarded as a philosopher and theologian. (Russian: Фёдор Михайлович Достоевский ) (see also Fiodor Dostoïevski )",Fyodor Dostoevsky,1821-11-11 00:00:00,1881-02-09 00:00:00,4.39,The Brothers Karamazov,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,http://www.fedordostoevsky.ru/
"Charles John Huffam Dickens (1812-1870) was a writer and social critic who created some of the world's best-known fictional characters and is regarded as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime, and by the twentieth century critics and scholars had recognised him as a literary genius. His novels and short stories enjoy lasting popularity. Dickens left school to work in a factory when his father was incarcerated in a debtors' prison. Despite his lack of formal education, he edited a weekly journal for 20 years, wrote 15 novels, five novellas, hundreds of short stories and non-fiction articles, lectured and performed extensively, was an indefatigable letter writer, and campaigned vigorously for children's rights, education, and other social reforms. Dickens was regarded as the literary colossus of his age. His 1843 novella, A Christmas Carol , remains popular and continues to inspire adaptations in every artistic genre. Oliver Twist and Great Expectations are also frequently adapted, and, like many of his novels, evoke images of early Victorian London. His 1859 novel, A Tale of Two Cities , set in London and Paris, is his best-known work of historical fiction. Dickens's creative genius has been praised by fellow writers—from Leo Tolstoy to George Orwell and G. K. Chesterton—for its realism, comedy, prose style, unique characterisations, and social criticism. On the other hand, Oscar Wilde, Henry James, and Virginia Woolf complained of a lack of psychological depth, loose writing, and a vein of saccharine sentimentalism. The term Dickensian is used to describe something that is reminiscent of Dickens and his writings, such as poor social conditions or comically repulsive characters. On 8 June 1870, Dickens suffered another stroke at his home after a full day's work on Edwin Drood. He never regained consciousness, and the next day he died at Gad's Hill Place. Contrary to his wish to be buried at Rochester Cathedral ""in an inexpensive, unostentatious, and strictly private manner,"" he was laid to rest in the Poets' Corner of Westminster Abbey. A printed epitaph circulated at the time of the funeral reads: ""To the Memory of Charles Dickens (England's most popular author) who died at his residence, Higham, near Rochester, Kent, 9 June 1870, aged 58 years. He was a sympathiser with the poor, the suffering, and the oppressed; and by his death, one of England's greatest writers is lost to the world."" His last words were: ""On the ground"", in response to his sister-in-law Georgina's request that he lie down. (from Wikipedia)",Charles Dickens,1812-02-07 00:00:00,1870-06-09 00:00:00,3.8,Great Expectations,https://www.goodreads.com/book/show/2623.Great_Expectations,
"Sir Arthur Ignatius Conan Doyle was a Scottish writer and physician. He created the character Sherlock Holmes in 1887 for A Study in Scarlet, the first of four novels and fifty-six short stories about Holmes and Dr. Watson. The Sherlock Holmes stories are milestones in the field of crime fiction. Doyle was a prolific writer. In addition to the Holmes stories, his works include fantasy and science fiction stories about Professor Challenger, and humorous stories about the Napoleonic soldier Brigadier Gerard, as well as plays, romances, poetry, non-fiction, and historical novels. One of Doyle's early short stories, ""J. Habakuk Jephson's Statement"" (1884), helped to popularise the mystery of the brigantine Mary Celeste, found drifting at sea with no crew member aboard.",Arthur Conan Doyle,1859-05-22 00:00:00,1930-07-07 00:00:00,4.3,The Adventures of Sherlock Holmes,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,https://conandoyleestate.com/
"Roald Dahl was a beloved British author, poet, screenwriter, and wartime fighter pilot, best known for his enchanting and often darkly humorous children's books that have captivated generations of readers around the world. Born in Llandaff, Wales, to Norwegian parents, Dahl led a life marked by adventure, tragedy, creativity, and enduring literary success. His vivid imagination and distinctive storytelling style have made him one of the most celebrated children's authors in modern literature. Before becoming a writer, Dahl lived a life filled with excitement and hardship. He served as a Royal Air Force pilot during World War II, surviving a near-fatal crash in the Libyan desert. His wartime experiences and travels deeply influenced his storytelling, often infusing his works with a sense of danger, resilience, and the triumph of the underdog. After the war, he began writing for both adults and children, showing a rare versatility that spanned genres and age groups. Dahl's children's books are known for their playful use of language, unforgettable characters, and a deep sense of justice, often pitting clever children against cruel or foolish adults. Some of his most iconic titles include Charlie and the Chocolate Factory, Matilda, The BFG, James and the Giant Peach, Fantastic Mr Fox, and The Witches. These works are filled with fantastical elements and moral undertones, empowering young readers to challenge authority, think independently, and believe in the impossible. Equally acclaimed for his work for adults, Dahl wrote numerous short stories characterized by their macabre twists and dark humor. His stories were frequently published in magazines such as The New Yorker and later compiled into bestselling collections like Someone Like You and Kiss Kiss. He also wrote screenplays, including the James Bond film You Only Live Twice and the adaptation of Ian Fleming 's Chitty Chitty Bang Bang. Despite his literary success, Dahl was a complex and sometimes controversial figure, known for his strong opinions and difficult personality. Nonetheless, his books continue to be treasured for their wit, originality, and the sense of wonder they inspire. Many of his stories have been adapted into successful films, stage plays, and television specials, further cementing his legacy. Dahl's impact on children's literature is immeasurable. His ability to connect with young readers through a mix of irreverence, heart, and imagination has made his stories timeless. Even after his death, his books remain in print and continue to be read by millions of children worldwide. His writing not only entertains but also encourages curiosity, courage, and compassion. Roald Dahl's work lives on as a testament to the power of storytelling and the magic of a truly original voice. He remains a towering figure in literature whose creations continue to spark joy, mischief, and inspiration across generations.",Roald Dahl,1916-09-13 00:00:00,1990-11-23 00:00:00,4.34,Matilda,https://www.goodreads.com/book/show/39988.Matilda,http://www.roalddahl.com
"Sylvia Plath was an American poet, novelist, and short story writer, widely regarded as one of the most influential and emotionally powerful authors of the 20th century. Born in Boston, Massachusetts, she demonstrated literary talent from an early age, publishing her first poem at the age of eight. Her early life was shaped by the death of her father, Otto Plath , when she was eight years old, a trauma that would profoundly influence her later work. Plath attended Smith College, where she excelled academically but also struggled privately with depression. In 1953, she survived a suicide attempt, an experience she later fictionalized in her semi-autobiographical novel The Bell Jar. After recovering, she earned a Fulbright Scholarship to study at Newnham College, Cambridge, in England. While there, she met and married English poet Ted Hughes in 1956. Their relationship was passionate but tumultuous, with tensions exacerbated by personal differences and Hughes's infidelities. Throughout her life, Plath sought to balance her ambitions as a writer with the demands of marriage and motherhood. She had two children with Hughes, Frieda and Nicholas, and continued to write prolifically. In 1960, her first poetry collection, The Colossus and Other Poems, was published in the United Kingdom. Although it received modest critical attention at the time, it laid the foundation for her distinctive voice—intensely personal, often exploring themes of death, rebirth, and female identity. Plath's marriage unraveled in 1962, leading to a period of intense emotional turmoil but also extraordinary creative output. Living with her two children in London, she wrote many of the poems that would posthumously form Ariel, the collection that would cement her literary legacy. These works, filled with striking imagery and raw emotional force, displayed her ability to turn personal suffering into powerful art. Poems like ""Daddy"" and ""Lady Lazarus"" remain among her most famous, celebrated for their fierce honesty and technical brilliance. In early 1963, following a deepening depression, Plath died by suicide at the age of 30. Her death shocked the literary world and sparked a lasting fascination with her life and work. The posthumous publication of Ariel in 1965, edited by Hughes, introduced Plath's later poetry to a wide audience and established her as a major figure in modern literature. Her novel The Bell Jar was also published under her own name shortly after her death, having initially appeared under the pseudonym ""Victoria Lucas."" Plath’s work is often classified within the genre of confessional poetry, a style that emphasizes personal and psychological experiences. Her fearless exploration of themes like mental illness, female oppression, and death has resonated with generations of readers and scholars. Over time, Plath has become a feminist icon, though her legacy is complex and occasionally controversial, especially in light of debates over Hughes's role in managing her literary estate and personal history. Today, Sylvia Plath is remembered not only for her tragic personal story but also for her immense contributions to American and English literature. Her work continues to inspire writers, artists, and readers worldwide. Collections such as Ariel, Crossing the Water, and Winter Trees, as well as her journals and letters, offer deep insight into her creative mind. Sylvia Plath’s voice, marked by its intensity and emotional clarity, remains one of the most haunting and enduring in modern literature.",Sylvia Plath,1932-10-27 00:00:00,1963-02-11 00:00:00,4.04,The Bell Jar,https://www.goodreads.com/book/show/6514.The_Bell_Jar,
"Eric Arthur Blair was an English novelist, poet, essayist, journalist and critic who wrote under the pen name of George Orwell. His work is characterised by lucid prose, social criticism, opposition to all totalitarianism (both fascism and stalinism), and support of democratic socialism. Orwell is best known for his allegorical novella Animal Farm (1945) and the dystopian novel Nineteen Eighty-Four (1949), although his works also encompass literary criticism, poetry, fiction and polemical journalism. His non-fiction works, including The Road to Wigan Pier (1937), documenting his experience of working-class life in the industrial north of England, and Homage to Catalonia (1938), an account of his experiences soldiering for the Republican faction of the Spanish Civil War (1936–1939), are as critically respected as his essays on politics, literature, language and culture. Orwell's work remains influential in popular culture and in political culture, and the adjective ""Orwellian""—describing totalitarian and authoritarian social practices—is part of the English language, like many of his neologisms, such as ""Big Brother"", ""Thought Police"", ""Room 101"", ""Newspeak"", ""memory hole"", ""doublethink"", and ""thoughtcrime"". In 2008, The Times named Orwell the second-greatest British writer since 1945.",George Orwell,1903-06-25 00:00:00,1950-01-21 00:00:00,4.2,1984,https://www.goodreads.com/book/show/40961427-1984,http://www.george-orwell.org/
"Irish-born Abraham Stoker , known as Bram , of Britain wrote the gothic horror novel Dracula (1897). The feminist Charlotte Mathilda Blake Thornely Stoker at 15 Marino crescent, then as now called ""the crescent,"" in Fairview, a coastal suburb of Dublin, Ireland, bore this third of seven children. The parents, members of church of Ireland, attended the parish church of Saint John the Baptist, located on Seafield road west in Clontarf with their baptized children. Stoker, an invalid, started school at the age of seven years in 1854, when he made a complete and astounding recovery. Of this time, Stoker wrote, ""I was naturally thoughtful, and the leisure of long illness gave opportunity for many thoughts which were fruitful according to their kind in later years."" After his recovery, he, a normal young man, even excelled as a university athlete at Trinity college, Dublin form 1864 to 1870 and graduated with honors in mathematics. He served as auditor of the college historical society and as president of the university philosophical society with his first paper on ""Sensationalism in Fiction and Society."" In 1876, while employed as a civil servant in Dublin, Stoker wrote a non-fiction book (The Duties of Clerks of Petty Sessions in Ireland, published 1879) and theatre reviews for The Dublin Mail, a newspaper partly owned by fellow horror writer J. Sheridan Le Fanu. His interest in theatre led to a lifelong friendship with the English actor Henry Irving. He also wrote stories, and in 1872 ""The Crystal Cup"" was published by the London Society, followed by ""The Chain of Destiny"" in four parts in The Shamrock. In 1878 Stoker married Florence Balcombe, a celebrated beauty whose former suitor was Oscar Wilde. The couple moved to London, where Stoker became business manager (at first as acting-manager) of Irving's Lyceum Theatre, a post he held for 27 years. The collaboration with Irving was very important for Stoker and through him he became involved in London's high society, where he met, among other notables, James McNeil Whistler, and Sir Arthur Conan Doyle. In the course of Irving's tours, Stoker got the chance to travel around the world. The Stokers had one son, Irving Noel, who was born on December 31, 1879. People cremated the body of Bram Stoker and placed his ashes placed in a display urn at Golders green crematorium. After death of Irving Noel Stoker in 1961, people added his ashes to that urn. Despite the original plan to keep ashes of his parents together, after death, people scattered ashes of Florence Stoker at the gardens of rest. http://en.wikipedia.org/wiki/Bram_Stoker",Bram Stoker,1847-11-08 00:00:00,1912-04-20 00:00:00,4.02,Dracula,https://www.goodreads.com/book/show/17245.Dracula,http://www.bramstoker.org
"Stephen Chbosky grew up in Pittsburgh, Pennsylvania, and graduated from the University of Southern California's Filmic Writing Program. His first film, The Four Corners of Nowhere, premiered at the 1995 Sundance Film Festival and went on to win Best Narrative Feature honors at the Chicago Underground Film Festival. He is the recipient of the Abraham Polonsky Screenwriting Award for his screenplay Everything Divided as well as a participant in the Sundance Institute's filmmakers' lab for his current project, Fingernails and Smooth Skin. Chbosky lives in New York. For more information, please see http://en.wikipedia.org/wiki/Stephen_...",Stephen Chbosky,1970-01-25 00:00:00,,4.24,The Perks of Being a Wallflower,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,
"Rick Riordan is the #1 New York Times bestselling author of many books, including the Percy Jackson series.",Rick Riordan,,,4.31,The Lightning Thief,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,http://www.rickriordan.com/
